LotArea,YearBuilt,OverallQual,OverallCond,GrLivArea,GarageCars,FullBath,BedroomAbvGr,TotRmsAbvGrd,Neighborhood,SalePrice
2189,1921,4,8,3727,2,2,1,8,CollgCr,497456
4734,2006,4,8,3911,1,0,5,11,Mitchel,404548
5005,2009,2,4,2672,4,0,2,4,NoRidge,219259
6658,1903,6,2,1370,4,1,2,10,Veenker,297145
3899,1925,2,8,779,4,1,5,11,CollgCr,360625
9734,1957,7,8,3464,0,0,4,5,Mitchel,209547
3267,1928,3,10,3169,2,3,2,3,Veenker,94552
3528,2008,3,4,3393,4,2,3,11,Veenker,249041
13394,1997,5,3,2392,0,0,3,6,NoRidge,257606
5556,1986,3,2,2251,1,3,1,3,CollgCr,280677
5890,1936,2,9,1173,4,0,5,11,Crawfor,311869
10838,1974,10,1,1651,4,2,5,7,Veenker,450074
13080,1969,9,7,2861,0,2,2,12,Mitchel,255558
7393,1917,2,5,831,2,1,4,11,NoRidge,124474
12627,1984,2,8,1673,1,1,5,2,NoRidge,337312
10792,1941,8,4,2539,4,1,2,7,Veenker,82099
12555,1999,9,7,1977,2,1,2,5,Veenker,252252
12253,1940,7,5,535,1,2,5,4,Veenker,290454
10433,1937,3,5,2208,3,3,2,3,Crawfor,373599
12233,1933,9,9,1943,3,3,1,8,Veenker,104240
13016,1916,3,9,3593,1,3,1,10,CollgCr,386940
9513,1936,5,9,2753,0,0,5,13,Mitchel,366736
4612,1924,9,6,3186,1,1,4,4,Veenker,310746
9041,2001,3,6,3395,1,1,1,7,Crawfor,434325
11555,2021,7,5,1879,0,2,1,10,Mitchel,302051
8235,1975,1,9,939,0,2,5,3,NoRidge,490674
7486,1986,4,10,3276,2,0,3,8,Veenker,151611
9099,2016,4,8,1619,2,0,2,6,Mitchel,108046
11670,2005,7,7,3488,0,3,1,6,NoRidge,300468
12748,1985,8,7,663,3,2,3,12,Crawfor,66488
2775,1984,1,6,647,3,1,4,8,CollgCr,239913
14206,1926,5,5,2841,1,3,3,10,Veenker,430665
10226,1956,7,4,694,4,1,5,5,CollgCr,443611
5152,1930,4,3,1162,1,3,4,10,Crawfor,233741
12147,1905,4,3,979,1,1,4,14,Mitchel,191917
3585,1990,4,6,622,4,0,3,12,Mitchel,217131
5943,1939,6,4,1923,0,3,5,11,Crawfor,68394
9555,1997,7,6,3246,3,1,1,10,Crawfor,406137
5073,1911,2,3,1464,1,1,3,14,Veenker,226978
3021,2008,5,4,3208,4,2,1,5,NoRidge,109332
13653,2020,4,9,3675,2,3,3,4,CollgCr,218377
12805,1952,3,5,2278,1,1,1,3,CollgCr,92628
5843,1970,7,7,1985,3,2,3,10,Mitchel,333496
9989,1909,6,10,2514,0,1,4,13,Mitchel,395115
11692,1944,7,2,1209,1,3,2,3,Veenker,101993
14990,1916,5,5,2943,1,0,4,7,Crawfor,220458
8873,1925,6,9,1411,4,3,1,6,CollgCr,415171
7675,1984,5,3,1860,2,3,5,6,Veenker,499840
2161,1991,7,9,3552,2,1,4,5,Mitchel,432356
6297,1961,2,6,3713,0,1,2,7,Mitchel,58539
12173,2021,5,4,2864,3,3,1,6,CollgCr,182335
2995,1945,6,7,2234,0,2,4,12,Mitchel,456521
13534,1963,6,8,2323,1,2,3,5,Mitchel,365961
14743,1901,5,6,2079,1,2,5,14,NoRidge,467614
9629,2023,10,5,3972,2,1,1,10,Crawfor,290310
13990,1953,7,6,1180,3,1,4,14,Mitchel,256873
11467,2006,10,5,1833,4,3,1,7,NoRidge,361251
3016,1964,8,8,3042,3,0,3,12,Veenker,475368
9869,1950,7,1,1055,1,1,2,11,Mitchel,473840
8439,1952,5,7,1109,4,3,4,11,Veenker,441384
9892,1935,1,10,2656,3,3,1,14,Mitchel,411799
8863,2014,5,10,871,3,0,1,11,CollgCr,106132
9916,1925,10,2,3402,4,2,1,14,NoRidge,437845
10529,1928,2,9,1115,1,3,2,4,NoRidge,155494
2878,1920,5,1,3315,3,3,1,11,CollgCr,365123
11268,1910,5,10,2414,4,3,5,7,Crawfor,370157
6887,1939,2,6,2753,1,2,5,2,NoRidge,275997
14185,1910,5,9,1346,4,2,1,6,Veenker,113797
6859,1935,4,1,542,4,0,5,11,NoRidge,101798
8331,2012,1,4,1364,3,1,4,7,Crawfor,197722
10571,1958,3,4,1768,1,2,5,12,Veenker,469230
10684,1938,1,9,3858,3,1,1,9,Veenker,126421
9208,2003,5,5,1878,0,1,3,12,CollgCr,319578
7276,1998,4,5,1284,0,2,4,10,Mitchel,342172
4062,1953,7,6,975,1,3,2,12,CollgCr,116558
14076,1997,5,1,582,4,0,1,4,Mitchel,336475
2064,1954,10,1,1633,3,1,2,3,CollgCr,117573
10006,2010,4,9,2737,3,3,3,14,Mitchel,179473
4568,1923,2,3,1299,1,2,2,5,NoRidge,227398
7463,2017,4,4,1435,1,1,1,9,Veenker,395123
4027,1921,2,1,2798,0,1,1,12,Mitchel,316267
4695,1968,8,9,2838,2,1,3,9,NoRidge,328747
11687,1955,3,8,2168,1,3,1,4,Crawfor,378085
7258,1932,9,2,3772,2,3,3,5,CollgCr,92597
7618,2021,4,8,825,1,3,3,4,Crawfor,244310
8736,1935,6,7,2034,4,1,1,11,NoRidge,396382
2391,2010,10,6,3980,4,1,5,3,Crawfor,485935
14706,1919,5,1,2485,0,0,3,5,Crawfor,272858
14666,1982,10,7,2464,0,0,1,7,NoRidge,353895
7892,1998,1,10,1336,2,3,5,12,Veenker,438606
5561,2015,9,7,1007,1,3,3,12,Mitchel,136978
12470,2006,1,9,3278,3,2,5,6,CollgCr,329837
8184,1980,8,1,2619,0,3,4,4,Mitchel,218769
5099,1961,9,2,1770,3,0,4,3,CollgCr,406668
8278,2022,9,9,1140,3,0,5,10,Mitchel,410013
10392,2008,1,9,3487,1,0,3,2,Crawfor,211064
5104,2006,2,6,2378,2,1,1,10,Veenker,375969
9215,1997,1,6,1107,1,1,2,2,Crawfor,190594
14790,1972,10,4,2458,0,3,1,8,Veenker,442619
4454,1925,2,4,1065,3,2,2,7,NoRidge,357550
13837,1965,10,5,1867,1,2,2,8,CollgCr,288078
10996,2016,8,3,2601,1,2,3,4,CollgCr,290140
4731,1972,5,1,2253,1,1,5,4,NoRidge,193193
12965,1972,7,1,3075,0,0,1,14,Mitchel,173371
10154,1939,2,7,3158,2,0,5,12,NoRidge,457435
11762,1916,8,1,2081,1,1,4,2,NoRidge,313761
7056,1900,6,1,2486,0,2,3,5,Veenker,93016
10110,1988,8,3,2740,3,2,3,13,NoRidge,493888
12882,1960,1,10,2605,4,3,4,3,CollgCr,336420
5840,1942,1,4,3682,0,3,1,11,Crawfor,280959
3028,2003,7,4,628,4,2,4,9,Veenker,384384
9385,1941,8,2,2372,1,1,1,4,Veenker,418436
2502,1924,3,1,1205,1,2,2,8,Mitchel,236807
8910,1938,5,3,1351,0,3,3,8,Crawfor,67959
14685,1934,1,4,3897,4,2,1,13,Veenker,78522
11062,1902,7,3,507,1,1,5,10,NoRidge,499303
8938,2013,5,8,2576,3,0,5,7,Veenker,453169
6488,2000,8,10,1635,2,1,3,2,Veenker,76567
2206,2007,8,1,3494,2,1,4,9,Veenker,112708
7134,1943,9,2,2678,1,3,4,2,Mitchel,176206
7977,1950,7,7,2735,4,1,1,4,Veenker,72560
9721,1993,1,4,2198,1,1,4,12,Veenker,108390
9035,2001,3,8,3256,4,3,3,6,Mitchel,175772
3484,1997,8,3,1998,3,3,1,9,Crawfor,479876
9858,1911,3,6,3935,4,0,2,10,CollgCr,357248
2863,1918,8,9,3775,1,2,4,8,Mitchel,107805
4790,2000,1,1,2759,3,1,4,10,Mitchel,286109
9408,1943,5,1,2144,0,3,1,12,Veenker,336640
10755,1958,4,8,775,2,0,5,4,Veenker,264373
7116,2022,5,3,3644,1,2,4,14,CollgCr,141257
14383,1948,8,5,2202,1,3,3,6,Veenker,53515
8019,1960,10,1,2295,1,2,4,11,NoRidge,54454
3757,1916,4,5,742,3,2,2,9,Veenker,287145
9574,1973,4,6,3673,0,1,4,13,Veenker,72873
8374,1956,3,8,3534,4,1,5,2,NoRidge,386064
8892,1954,7,3,3232,0,3,4,9,CollgCr,325871
3678,2012,3,3,670,3,2,1,8,NoRidge,178376
5242,1946,3,10,1152,1,3,4,2,Mitchel,119070
6636,1911,10,9,2432,2,3,5,14,NoRidge,411203
3059,1961,5,4,2735,1,2,1,14,Crawfor,174564
8668,1979,5,4,1609,4,3,3,11,Mitchel,278497
11914,1987,6,7,1999,2,2,1,13,Veenker,167213
13506,1982,8,2,2599,1,2,2,11,Mitchel,231051
5157,1907,10,8,2658,2,2,1,13,CollgCr,75465
7915,1994,6,6,2472,0,2,3,7,CollgCr,234972
12817,1920,1,3,3424,3,0,4,2,NoRidge,109799
12921,1980,8,9,1566,1,2,1,3,Mitchel,146129
11789,1986,8,5,2758,4,1,1,6,Veenker,464546
13252,2000,9,8,2535,0,1,1,3,CollgCr,189374
4693,2017,9,7,3771,1,1,1,11,Veenker,419432
5627,1979,2,8,1357,0,2,3,2,Crawfor,293761
11555,1969,2,7,3174,4,1,5,7,CollgCr,292821
12173,1971,3,3,1549,1,0,5,9,NoRidge,62875
7450,1924,1,2,798,4,3,1,9,Crawfor,77219
3663,1981,4,7,3648,2,2,3,14,Mitchel,348326
11721,1988,4,3,1423,4,1,3,14,Veenker,261613
12230,1911,9,3,636,2,0,1,9,CollgCr,485485
7592,1914,9,2,1543,1,3,2,12,Crawfor,391925
13494,1958,9,4,2987,2,0,1,7,Crawfor,56457
12429,1925,10,8,710,1,1,2,12,CollgCr,449965
9392,2004,7,1,3299,1,0,1,4,Mitchel,83064
3306,2008,2,1,2074,3,3,2,2,Mitchel,453037
14221,1925,10,5,2982,1,1,2,3,NoRidge,165256
8776,1946,5,5,1279,2,3,1,6,Mitchel,410441
12867,1931,4,1,1730,3,0,2,14,NoRidge,284659
7864,1909,8,6,2986,3,2,4,11,Crawfor,259727
11474,1915,2,1,2302,1,2,5,6,CollgCr,450880
9526,1970,6,5,3213,4,2,3,11,Mitchel,210353
10901,1916,5,9,1565,4,2,2,2,NoRidge,308063
7575,1922,2,5,910,3,3,2,2,Crawfor,286887
7530,1925,10,6,3353,1,2,3,10,Mitchel,475037
14936,1984,1,8,3157,4,3,2,3,Veenker,284841
6413,1985,8,1,926,1,1,3,8,Crawfor,467863
5748,2021,2,2,3846,1,2,1,11,Mitchel,119918
14971,1906,7,9,1971,3,3,4,5,Crawfor,263057
2663,1913,9,3,3449,3,2,4,8,CollgCr,402323
3998,1978,9,6,1441,0,2,5,9,CollgCr,387088
9994,2016,8,5,2407,4,2,2,6,CollgCr,139142
13637,1906,10,2,1241,4,3,5,14,Veenker,77603
13935,1908,9,7,1892,4,0,1,13,CollgCr,358602
3495,2014,2,4,1743,2,2,4,13,Veenker,120605
5304,1947,6,1,2100,1,2,1,2,CollgCr,331767
5763,1971,4,4,1755,3,1,1,5,Crawfor,94440
7232,2013,4,6,827,4,0,2,11,Mitchel,394571
3853,1958,5,7,1966,0,3,1,4,Mitchel,450920
8585,1986,3,7,2599,4,1,4,11,CollgCr,405970
14851,1992,1,7,2466,1,2,5,13,Mitchel,339604
3291,1981,8,3,875,1,1,4,6,CollgCr,264117
5581,1994,5,6,762,3,1,2,11,CollgCr,263877
13649,1993,3,8,766,2,2,4,14,NoRidge,160373
9554,2015,10,4,2906,3,0,3,11,NoRidge,449781
9280,1938,7,8,3888,4,0,5,14,NoRidge,317014
3636,1998,7,2,3895,0,1,3,7,Veenker,68909
5696,1917,1,10,2444,3,2,3,3,NoRidge,321261
13191,1958,9,9,2393,2,3,2,8,CollgCr,299975
13344,2005,2,9,2401,3,1,1,14,Crawfor,379618
2698,2002,5,8,3199,1,3,3,4,NoRidge,143926
12352,1916,5,10,2152,4,1,4,2,NoRidge,487538
14289,1913,8,10,1944,4,1,1,11,Crawfor,177463
6737,1930,8,1,545,4,2,4,4,CollgCr,151536
2854,1923,7,2,1099,4,2,4,10,Veenker,332272
10164,1998,7,6,1219,4,3,1,11,NoRidge,301981
7855,2007,6,10,2412,4,3,1,12,Crawfor,381145
9392,1959,6,5,1792,0,0,4,12,CollgCr,312584
8528,1944,9,9,1100,2,2,2,7,Mitchel,230685
13666,1997,6,5,880,4,1,5,12,Veenker,173491
7249,1902,2,2,617,2,1,5,7,Crawfor,454879
7172,1936,2,10,2663,4,0,2,5,Crawfor,200619
3707,1942,5,4,759,3,2,1,9,Crawfor,131662
12969,1939,4,9,1598,4,1,4,6,NoRidge,286128
7791,1989,2,1,2003,1,0,5,8,Mitchel,50005
11925,1954,3,1,2852,0,0,4,10,Veenker,284152
7535,1986,7,7,2554,3,1,2,14,CollgCr,319182
6931,2007,8,3,865,3,1,4,14,CollgCr,318558
5510,1938,6,10,2157,1,3,2,6,Mitchel,381650
2202,1914,5,2,3070,4,2,1,12,Crawfor,388730
13447,2019,1,9,3919,0,3,2,6,Crawfor,445822
6218,2012,8,3,1961,3,0,2,5,Crawfor,328626
14688,1903,3,2,2524,0,1,5,7,Crawfor,279901
10958,1992,6,8,3786,3,3,4,3,Crawfor,252945
6389,1985,3,10,2976,4,0,5,4,Mitchel,83948
4327,1924,7,6,1290,3,2,3,2,NoRidge,402131
10004,1912,7,6,1246,3,1,2,3,Veenker,272873
4931,1981,9,10,2914,2,3,3,3,Crawfor,272322
9777,1932,5,7,812,4,2,5,9,NoRidge,70875
2197,1915,8,7,1037,1,3,4,9,CollgCr,325201
9125,2008,10,6,1420,1,0,5,3,Mitchel,82400
3930,1941,10,4,1577,4,2,4,14,NoRidge,118607
13774,2007,8,9,1990,1,3,4,7,Crawfor,399705
8287,1965,1,6,3412,4,2,1,6,Crawfor,339647
10800,1954,5,4,3735,1,0,2,4,Crawfor,466981
13464,1998,3,3,3329,2,2,5,6,NoRidge,151096
11339,1941,1,4,2881,1,3,4,6,Crawfor,96612
6282,1933,4,3,1297,3,0,5,6,NoRidge,410462
13589,1929,8,2,847,4,1,5,4,Crawfor,311538
4511,2022,3,5,772,0,3,4,4,CollgCr,134335
11986,2018,10,2,3510,0,3,3,5,CollgCr,413133
2659,1912,2,6,1219,4,0,2,8,Veenker,143012
4811,1912,9,3,2273,2,0,2,13,Crawfor,131748
9098,1917,10,6,3985,1,1,1,13,Crawfor,452644
8546,1931,5,10,3047,2,3,1,13,NoRidge,212491
11561,1995,7,9,3664,0,0,1,3,NoRidge,115195
3986,1998,2,1,1184,4,1,2,11,Crawfor,254767
10338,2022,9,6,2626,4,1,3,5,Veenker,139846
13411,1938,9,9,1121,2,0,2,5,Crawfor,152404
4911,1945,4,4,2539,2,3,2,2,NoRidge,351286
3734,2015,4,2,3788,1,2,2,11,Crawfor,311320
3843,1928,6,4,1446,3,2,2,9,NoRidge,121540
10680,1961,10,1,2905,3,1,3,2,Crawfor,219361
4976,2012,10,3,3165,1,2,1,9,Mitchel,389092
3959,1992,10,10,1006,3,2,5,8,NoRidge,371095
7759,1961,6,9,2082,0,0,1,10,Veenker,61755
8694,2016,1,10,3752,3,1,1,9,Mitchel,302915
4385,2007,9,5,3123,1,3,5,6,Crawfor,430129
13111,1956,2,6,3817,3,1,2,9,NoRidge,134553
6736,1915,5,3,743,4,0,3,12,Mitchel,184962
3802,1955,9,5,1005,2,2,3,11,Veenker,406520
10155,2007,4,8,921,0,3,1,13,NoRidge,306760
10120,2010,3,6,3891,4,1,5,13,Mitchel,67175
8616,2020,7,4,3658,4,2,4,4,Mitchel,377831
7534,1909,6,2,2764,1,1,2,11,Mitchel,397127
6061,1929,8,9,3849,2,3,1,8,CollgCr,275783
13561,1924,3,1,2372,2,1,3,13,Crawfor,205360
2262,2002,5,1,3556,0,1,5,5,NoRidge,96629
8287,1983,10,4,1692,1,1,5,6,NoRidge,166779
10815,1904,4,7,829,0,2,1,10,NoRidge,228872
11208,1964,4,1,1149,3,3,4,8,Mitchel,218439
13835,1993,4,9,1964,4,3,3,5,Crawfor,380657
4049,1948,10,4,890,0,2,1,7,Veenker,132762
7423,1902,8,3,2019,4,2,4,11,NoRidge,210094
13915,1944,6,1,880,1,2,5,12,Crawfor,250401
6548,1913,3,10,3877,3,0,2,8,Crawfor,444875
5108,2019,10,4,1241,1,1,3,14,CollgCr,107941
14282,1929,5,9,2510,3,1,3,11,NoRidge,481146
9158,2013,6,10,1319,3,3,4,14,Mitchel,355617
12248,1967,5,6,1172,4,1,1,10,Crawfor,236670
9400,1917,6,6,3060,1,0,5,5,Crawfor,66040
5170,1961,8,1,2271,1,2,4,11,Veenker,119806
11874,1936,7,10,3496,0,3,2,4,CollgCr,194358
4255,1924,5,2,1711,1,3,2,9,Crawfor,250211
3154,1947,10,6,1429,0,1,2,2,Crawfor,162076
6499,1964,6,2,2039,2,3,4,10,Mitchel,105916
8295,1952,4,3,1412,2,2,5,14,Mitchel,198672
8197,2009,9,4,1143,2,3,3,2,Veenker,445507
13383,1978,4,5,926,1,2,1,3,Veenker,456339
11888,1972,1,9,1001,1,0,3,14,Veenker,315955
14183,1914,7,4,1229,0,0,5,9,Mitchel,81276
14915,1948,7,9,1783,3,2,3,10,Mitchel,235217
14874,2020,4,10,2618,0,1,4,8,CollgCr,489835
3648,1987,3,3,3025,2,3,2,4,NoRidge,393193
7539,1967,8,8,3749,0,1,5,8,NoRidge,251750
11637,1911,5,1,956,3,3,5,7,CollgCr,269854
6199,1958,10,9,2736,1,0,3,3,NoRidge,272115
14115,2021,7,9,790,0,0,4,4,Mitchel,469930
10445,1936,4,10,1419,2,0,3,12,NoRidge,236757
13375,1960,4,2,2839,2,3,3,14,Mitchel,193266
4557,2000,8,4,2469,1,0,5,13,CollgCr,385206
7592,1942,8,8,1255,0,0,3,14,Veenker,200434
2098,2023,2,7,2158,3,0,2,11,CollgCr,366643
4200,1969,2,1,2334,1,0,3,11,NoRidge,96281
4961,1938,3,5,1806,0,1,2,14,Mitchel,356996
6973,1955,3,7,2067,4,0,5,13,NoRidge,312120
6433,1962,1,4,2369,2,0,4,6,NoRidge,303693
13969,1945,3,1,876,3,1,2,11,Veenker,228908
4869,1987,6,9,1679,3,1,4,5,NoRidge,54595
13426,1910,8,5,1007,3,3,4,3,Veenker,145930
13983,1961,10,2,1936,2,2,2,5,Mitchel,196474
2956,1976,6,8,3075,0,0,5,13,Mitchel,311745
14259,1997,5,2,3926,1,0,1,9,Veenker,246355
10352,1924,4,3,1058,0,0,4,6,CollgCr,404820
7699,1970,3,10,3758,1,3,4,6,Mitchel,223795
8944,1951,4,1,3602,3,0,5,14,CollgCr,232394
6493,1903,7,2,2807,0,2,5,13,Mitchel,227836
11492,1958,1,7,920,3,1,3,13,Mitchel,468127
6911,1971,7,10,2052,4,3,5,11,Crawfor,272360
5987,1919,1,2,803,3,1,4,4,NoRidge,331549
11719,1992,2,6,1441,3,0,2,14,NoRidge,108122
8015,1962,4,3,3610,1,0,1,9,CollgCr,280561
3218,1953,1,4,3089,4,0,3,7,NoRidge,282661
6496,2016,9,8,1801,3,2,2,3,CollgCr,178909
6735,2014,6,3,3774,3,2,1,3,Mitchel,315591
13296,2008,1,10,1589,4,3,1,10,Crawfor,234215
12927,2009,1,6,2655,4,1,1,14,Crawfor,60662
6555,1973,6,1,2815,0,0,2,8,Mitchel,108282
11146,2006,4,7,2769,1,0,3,11,Veenker,448115
10050,1997,4,8,2327,4,0,3,10,Veenker,340726
14757,1956,6,8,2053,4,0,1,7,NoRidge,117471
5446,1989,7,3,3661,2,2,2,6,CollgCr,173513
3045,1940,9,10,1192,4,1,1,13,Crawfor,223285
8893,2012,10,1,754,1,1,5,2,NoRidge,157578
3693,2021,5,9,1978,3,3,3,13,Mitchel,388015
5436,1902,9,6,2800,3,2,4,7,Crawfor,133205
10754,2019,4,9,756,3,0,1,7,CollgCr,386225
12677,1905,10,7,2930,3,1,5,4,CollgCr,417927
7895,1904,2,1,941,2,1,3,4,Veenker,284631
5354,1904,3,1,2381,4,2,2,4,NoRidge,133805
2225,1953,1,6,3146,3,3,3,4,Mitchel,174698
6893,1946,6,5,1613,0,3,2,8,Crawfor,218902
9022,1986,6,9,2937,3,0,2,11,CollgCr,450282
11151,1948,1,2,1081,4,3,1,12,Crawfor,60712
7600,1908,3,8,3615,3,1,1,3,Mitchel,393671
14740,1998,5,5,2235,2,3,3,11,Crawfor,441597
13259,1919,3,2,3145,1,0,5,14,NoRidge,176888
9996,2021,10,10,518,1,1,3,11,Veenker,282398
11007,2012,3,6,1624,4,3,4,3,Crawfor,246437
14946,1960,10,10,3154,1,3,2,4,Veenker,137185
9683,2022,3,8,1880,1,2,2,11,Mitchel,411995
6642,2005,5,4,2065,0,0,1,13,Veenker,474022
13312,1934,5,2,2580,4,3,5,8,Crawfor,62210
9679,1949,4,5,2493,4,2,1,4,Crawfor,86972
10208,1981,1,2,3800,1,1,4,8,CollgCr,286966
9339,1961,5,2,2047,1,2,3,10,Crawfor,346280
11435,1916,10,6,1361,1,2,3,12,Veenker,487513
4205,1987,5,10,654,2,3,5,11,CollgCr,428589
12716,1902,4,9,3994,3,3,1,13,Crawfor,328089
3069,1931,6,4,1404,2,3,1,12,Crawfor,276273
5444,1998,10,6,1769,4,2,4,5,Mitchel,485693
12757,2001,4,7,904,0,1,3,8,CollgCr,391324
3060,1912,7,6,1343,3,0,1,10,Mitchel,382597
4327,2019,7,8,2282,0,2,5,9,Mitchel,397548
5420,2024,2,4,2064,4,3,3,9,Mitchel,456440
2301,2010,3,1,1684,4,0,4,10,NoRidge,53052
14468,1988,1,7,1246,0,1,5,6,Mitchel,339416
2606,1972,8,3,2225,0,0,2,6,Veenker,353294
5170,1967,9,6,3688,0,3,4,4,Crawfor,277276
2699,1913,4,2,770,4,2,5,6,NoRidge,198388
7088,2000,6,9,1269,1,2,1,9,Mitchel,496605
11331,1997,9,1,2215,0,3,2,13,Crawfor,188312
2190,1910,6,6,2010,3,2,4,6,CollgCr,409239
12492,2004,9,6,671,4,3,1,5,CollgCr,380918
2980,1955,4,5,773,2,2,2,9,Crawfor,355319
4975,1966,8,5,2806,2,2,3,8,Veenker,443781
8102,2022,9,1,1658,3,2,1,7,Crawfor,66375
3184,1991,4,10,2206,1,1,5,6,Crawfor,75710
5327,1928,5,5,2271,0,1,4,6,NoRidge,230967
5394,1908,8,2,921,4,3,2,14,CollgCr,304624
10319,1966,10,7,1944,0,1,1,11,CollgCr,196246
12257,1924,6,3,1709,4,3,3,3,Mitchel,419170
3816,1997,7,4,2911,2,0,4,14,Crawfor,77597
7854,1975,3,3,2925,0,0,4,5,Crawfor,386433
8709,1941,7,3,1079,3,1,1,9,Veenker,481613
2569,1908,8,4,1390,1,0,3,9,CollgCr,476285
7442,1978,10,5,1221,3,0,2,12,Veenker,135687
3895,1939,6,1,3767,1,2,1,2,NoRidge,168968
4733,1924,10,4,1380,0,2,2,3,Mitchel,90274
5863,1904,9,8,1621,0,3,4,6,Veenker,253570
14913,1910,6,10,3152,1,0,2,10,CollgCr,481413
9455,1958,9,7,2507,2,3,3,11,NoRidge,98634
6014,1997,4,9,2569,4,3,5,12,Crawfor,342185
13093,1987,8,5,1973,3,0,3,13,NoRidge,450464
3686,2023,4,10,3743,3,1,2,14,Veenker,397509
5009,1978,2,4,882,3,0,1,12,CollgCr,445419
9806,1937,10,8,2681,0,2,4,8,Veenker,364130
2154,1971,9,9,1949,3,0,5,11,Crawfor,337514
12729,2022,5,7,3596,4,1,1,6,Crawfor,347391
3409,1904,4,7,3050,4,3,1,2,CollgCr,436547
14249,1947,2,5,3756,1,3,3,7,Mitchel,431688
2784,1989,1,4,3656,0,2,2,13,NoRidge,256994
13367,1917,7,10,2090,4,2,3,9,NoRidge,306480
10096,1969,6,1,2286,2,2,2,8,Crawfor,443650
9560,1936,2,10,643,0,3,3,3,Veenker,112982
14533,1959,8,10,2386,0,2,1,13,Veenker,377324
9343,1947,4,7,2202,4,0,4,6,Mitchel,158534
9206,1976,8,1,1935,2,3,2,12,Veenker,215546
7596,1927,7,1,723,1,1,5,5,NoRidge,336788
7801,1968,5,5,719,4,3,5,10,Veenker,88493
4806,1976,10,9,678,2,0,1,11,Mitchel,395968
2537,1980,10,6,2154,0,0,3,2,NoRidge,447175
7986,2013,8,3,932,2,2,3,13,Veenker,359433
3841,1939,9,3,764,0,3,1,7,NoRidge,454359
12647,1944,5,7,1453,4,3,5,4,Crawfor,482809
10716,1995,10,6,928,4,3,5,12,Crawfor,482331
8971,1961,5,9,2963,3,1,3,10,Crawfor,292217
7625,1992,2,6,3274,3,2,2,6,Veenker,203612
4950,2014,5,5,2744,3,0,4,14,Mitchel,347625
9992,1957,3,10,2077,4,0,2,7,NoRidge,276577
14323,1966,7,7,3624,1,2,5,12,CollgCr,127097
6780,1955,10,1,979,4,0,2,10,Crawfor,334722
14307,1939,5,7,1853,2,0,4,10,Crawfor,456003
4368,1997,8,3,3822,4,2,2,9,CollgCr,384192
14039,1939,1,9,1389,4,0,2,10,CollgCr,233951
8655,1990,3,6,1424,0,3,2,5,Veenker,191668
10173,1976,3,9,2670,0,1,2,7,NoRidge,463146
6495,2008,9,5,2402,0,2,1,6,Crawfor,229022
12893,1932,5,7,1910,4,1,5,6,Mitchel,407881
11163,1905,9,4,1862,1,0,4,5,Veenker,330831
8002,1987,9,7,1277,2,0,5,3,Veenker,496049
8614,1918,1,1,2895,2,3,1,13,Mitchel,172540
11358,1979,2,7,528,1,2,1,7,Mitchel,217061
7919,1939,5,8,3522,1,0,1,10,Mitchel,342327
